sample,group,n_households,converged,alpha_Whole,alpha_Whole_se,alpha_2%,alpha_2%_se,alpha_1%,alpha_1%_se,alpha_Skim,alpha_Skim_se,beta_Whole,beta_Whole_se,beta_2%,beta_2%_se,beta_1%,beta_1%_se,beta_Skim,beta_Skim_se,gamma_Whole_Whole,gamma_Whole_Whole_se,gamma_Whole_2%,gamma_Whole_2%_se,gamma_Whole_1%,gamma_Whole_1%_se,gamma_Whole_Skim,gamma_Whole_Skim_se,gamma_2%_2%,gamma_2%_2%_se,gamma_2%_1%,gamma_2%_1%_se,gamma_2%_Skim,gamma_2%_Skim_se,gamma_1%_1%,gamma_1%_1%_se,gamma_1%_Skim,gamma_1%_Skim_se,gamma_Skim_Skim,gamma_Skim_Skim_se
all,1,1125,True,0.24885184544244487,0.011555060058463903,0.5181263990893913,0.014332318367239905,0.10059212953035569,0.008072044123299588,0.13242962593780816,0.00928418539504198,-0.010874250976627132,0.01954472756892764,0.015758644395939988,0.023925430294447065,0.03198574150131891,0.013463916873129814,-0.036870134920631764,0.01563876696463041,-0.5411928700479157,0.03498274962982152,0.26629275630477506,0.03391404488448227,0.12058851814260362,0.021695032392683538,0.15431159560053703,0.025020090890947796,-0.6342834695370219,0.05252834863421028,0.1483337500461179,0.027850595635331696,0.2196569631861289,0.03238619600980093,-0.3378170724894349,0.028888687591086187,0.06889480430071337,0.023635970717839627,-0.4428633630873793,0.03622646814424138
all,2,259,True,-0.002804191257847368,0.01098481107078099,0.972439778780816,0.014673085280410168,0.029853684087418224,0.009148088035922106,0.0005107283896131909,0.0023913333804636045,0.038314225206373696,0.01048497367208389,-0.05011659956080342,0.01404685358610632,0.007787854456141562,0.008918223597739583,0.004014519898288164,0.0022892850845732246,-0.10602156316355542,0.026093957232900686,0.1120016058702513,0.02212750207098871,-0.0006430439725793294,0.0193077539651055,-0.005336998734116558,0.006598533880046226,-0.09173781302069621,0.03084104023325675,-0.028328251277110396,0.019046634331421355,0.0080644584275553,0.005088188786318763,0.02463505903047672,0.022296258431795214,0.004336236219213006,0.007027128591126262,-0.007063695912651748,0.007492404931934153
all,3,302,True,0.6397630394741667,0.02698592013164493,0.07219340344609654,0.017456109349953466,0.16336499242602337,0.018893463257475988,0.12467856465371341,0.017793429967977895,0.04217507808643988,0.050921159948106795,0.23299956309140618,0.030963211516810044,-0.23593347555668212,0.03528798009208093,-0.03924116562116395,0.03314181890842295,-0.294714960779441,0.081716588422284,0.20895764853591678,0.048628079436517015,0.06044856002936034,0.05017672448829747,0.025308752214163864,0.04980709146260859,-0.33537318929371285,0.07867715209913057,-0.021020516802747795,0.050485316133982494,0.14743605756054387,0.051542923777997685,0.08013550256931758,0.058615715236739425,-0.11956354579593012,0.04486204676637815,-0.05318126397877762,0.06285498540069649
all,4,180,True,0.4307437506572903,0.03348287790121093,0.05965246682503487,0.017369369668836288,0.2076536170082561,0.02855597694881299,0.30195016550941867,0.030130146056619483,-0.07120683123703667,0.03735704486548346,0.1542874813855495,0.01861296311033288,0.048325005924533995,0.03133517628841827,-0.13140565607304683,0.03322016661729491,0.25206317168081604,0.07332604428330723,0.31767976950277443,0.036584850799028366,-0.1358018736407939,0.06045643389650696,-0.4339410675427966,0.060640896333023796,-0.25043559186405373,0.07924826110815833,-0.03757138857082274,0.0720943825769661,-0.029672789067897963,0.057171066913348674,0.41176073875058056,0.1282060456917726,-0.23838747653896392,0.09574715940460052,0.7020013331496584,0.10241132097132247
all,5,78,True,0.37544507104034747,0.03800557917987557,0.07467662446367948,0.02747200203299725,0.05163808941288759,0.02839107448370424,0.49824021508308547,0.05255210380755189,-0.3477302887194976,0.05555895812103892,0.09352898358949424,0.0401023169803441,0.28102057550572834,0.0440922863354033,-0.026819270375724957,0.07425073406050978,0.07035880965381422,0.05621309899086224,0.02340392726246796,0.04134785414321787,0.16780733994236155,0.0452320128395407,-0.26157007685864375,0.07208274955743608,0.09455164906306564,0.1089270246423437,-0.029528993404695968,0.07104654302760399,-0.08842658292083763,0.0940472127360002,-0.10902557471162694,0.08689504758628946,-0.029252771826038637,0.07572720784856435,0.37924943160552,0.13568613410482397
all,6,47,True,0.2069513279176971,0.02656403260181519,0.49404969318856057,0.03849862621971967,0.029031842846010795,0.02092684932038509,0.2699671360477316,0.029670853690193323,0.20462179756585364,0.035270982660798915,0.10514425307248551,0.048001338788672646,-0.011611109514636684,0.024391982438836026,-0.2981549411237025,0.0396176489697341,0.15744985044012916,0.046895844737808626,-0.14405794500056307,0.03779823428838708,-0.028377638550358936,0.029822159560722195,0.014985733110792848,0.03707654163032857,0.3622733493672429,0.05754322101236355,0.013151296747140332,0.03020444933885334,-0.23136670111382018,0.041197771257757414,0.04985239817391068,0.049452656090505115,-0.03462605637069208,0.03610180974764756,0.2510070243737194,0.04987375838997108
all,7,29,True,0.44412231060339963,0.058206137059641144,0.09162679976499076,0.02552572527805275,0.40098053772030157,0.05285931273186629,0.06327035191130803,0.051167268606853875,0.01362448919416667,0.06605252632397206,0.0017766826373225584,0.019430687831314818,-0.0649368013624764,0.05643059047780874,0.04953562953098717,0.03913455923107004,0.6459827499043592,0.09086878129204623,-0.08393074089233088,0.031335104255418286,-0.5665995905487553,0.07260547308835437,0.004547581536726963,0.06335559925654714,0.4757774696054293,0.06447319365234984,-0.14086354327432168,0.04313077971852239,-0.25098318543877673,0.06776231969092242,0.7328481941752513,0.0899828451187928,-0.02538506035217425,0.0781267374271718,0.271820664254224,0.11950306705445214
all,9,39,True,1.0080743995937922,0.08589775065736054,-0.022424177432149986,0.06887885663584294,0.019832195137936725,0.03568285314914314,-0.005482417299578879,0.039992806205333895,0.011499846779586759,0.07340579455178096,-0.025136319895932888,0.05920264492673622,-0.004139791538501442,0.030654196779691105,0.017776264654847572,0.03577206365724725,-0.14620657658407088,0.09852043505921258,0.10154690226229629,0.07849990950414924,0.010368001092431689,0.04012174797149564,0.0342916732293429,0.046043524855478954,-0.0484037561163529,0.11974544311105757,-0.028807745907892326,0.05964824487709307,-0.024335400238051065,0.06827269690380679,0.0812494333203839,0.04899714040179967,-0.06280968850492326,0.0396123670369026,0.05285341551363142,0.061830734751396305
all,11,28,True,-0.022915530984184827,0.029323503265011267,0.08771794886762262,0.04807026112415826,0.47978953242683586,0.07083245973102992,0.45540804968972637,0.07011750965909679,0.022348394520686005,0.025000513170254323,0.0011129389232381508,0.04102411121203896,0.12513706028835542,0.07389486692167312,-0.14859839373227957,0.07530035704248458,0.022856113789392587,0.07709408597030713,-0.09404033247524916,0.0777618578006981,0.05683161297505333,0.04026395333072554,0.01435260571080324,0.05603028852434784,-0.16557310013247434,0.11476186333450794,-0.015200938752066023,0.06508850937936227,0.27481437135978953,0.09155357556455256,0.4734401200082116,0.1027961903273137,-0.515070794231199,0.09756212853603528,0.22590381716060615,0.13520920655445096
