hhnum,usdafoodcat4,grams,totitemexp,price_per_100g,num_milk_types
100088,1002.0,979.2,1.76,0.17973856209150327,2
100088,1004.0,7808.0,7.1,0.09093237704918032,2
100174,1002.0,3904.0,1.99,0.05097336065573771,2
100174,1004.0,3904.0,7.46,0.1910860655737705,2
100192,1002.0,7808.0,5.18,0.06634221311475409,2
100192,1004.0,7808.0,-996.0,,2
100207,1004.0,0.0,7.470000000000001,,2
100207,1008.0,0.0,2.49,,2
100268,1002.0,7808.0,5.96,0.07633196721311475,2
100268,1004.0,7808.0,5.96,0.07633196721311475,2
100363,1004.0,23424.0,10.07,0.042990095628415305,2
100363,1008.0,979.2,0.99,0.10110294117647058,2
100438,1004.0,1952.0,1.98,0.10143442622950821,2
100438,1008.0,3916.8,5.76,0.14705882352941177,2
100444,1002.0,7808.0,3.29,0.04213627049180328,2
100444,1004.0,3904.0,0.0,,2
100459,1004.0,1952.0,2.29,0.11731557377049182,2
100459,1008.0,1958.4,2.19,0.11182598039215685,2
100533,1002.0,1952.0,2.14,0.1096311475409836,2
100533,1008.0,3916.8,2.39,0.06101919934640523,2
100594,1002.0,1958.4,2.15,0.10978349673202614,2
100594,1004.0,7808.0,6.7,0.0858094262295082,2
100689,1002.0,4883.2,5.69,0.11652195281782439,2
100689,1004.0,976.0,1.5,0.15368852459016394,2
100781,1004.0,4880.0,5.0600000000000005,0.10368852459016395,2
100781,1008.0,384.0,0.97,0.25260416666666663,2
100792,1002.0,1952.0,2.79,0.14293032786885246,2
100792,1004.0,1952.0,0.0,,2
100875,1002.0,1890.0,4.95,0.2619047619047619,2
100875,1004.0,0.0,11.07,,2
100888,1002.0,7808.0,6.28,0.08043032786885246,2
100888,1006.0,3904.0,2.69,0.06890368852459017,2
101018,1004.0,340.2,1.59,0.46737213403880074,3
101018,1006.0,7808.0,6.54,0.08376024590163934,3
101018,1008.0,384.0,1.59,0.4140625,3
101180,1002.0,3904.0,3.58,0.09170081967213115,2
101180,1004.0,3904.0,2.98,0.07633196721311475,2
101210,1004.0,7808.0,7.58,0.09707991803278689,2
101210,1006.0,1952.0,1.99,0.10194672131147542,2
101291,1002.0,1512.0,2.96,0.19576719576719576,3
101291,1006.0,3904.0,4.99,0.12781762295081966,3
101291,1008.0,0.0,4.29,,3
101323,1002.0,5856.0,11.97,0.20440573770491802,2
101323,1004.0,7808.0,11.16,0.14293032786885246,2
101326,1002.0,3904.0,2.49,0.06378073770491804,2
101326,1004.0,3904.0,2.98,0.07633196721311475,2
101389,1002.0,756.0,2.0,0.26455026455026454,2
101389,1004.0,11712.0,11.040000000000001,0.09426229508196722,2
101456,1002.0,1952.0,2.99,0.15317622950819673,3
101456,1004.0,976.0,2.49,0.2551229508196722,3
101456,1008.0,1958.4,2.99,0.15267565359477125,3
101560,1002.0,7808.0,2.99,0.03829405737704918,2
101560,1004.0,7808.0,5.98,0.07658811475409837,2
101719,1002.0,1952.0,2.17,0.11116803278688524,2
101719,1008.0,3916.8,3.42,0.08731617647058823,2
101752,1002.0,3904.0,3.58,0.09170081967213115,2
101752,1004.0,3904.0,3.48,0.08913934426229508,2
101844,1002.0,0.0,1.24,,2
101844,1004.0,0.0,3.24,,2
101857,1002.0,3904.0,7.98,0.20440573770491802,2
101857,1004.0,3904.0,8.57,0.21951844262295084,2
101874,1002.0,489.6,1.18,0.2410130718954248,2
101874,1004.0,1952.0,2.43,0.1244877049180328,2
101880,1002.0,340.2,0.98,0.2880658436213992,2
101880,1004.0,0.0,13.16,,2
101923,1002.0,0.0,1.0,,2
101923,1004.0,0.0,3.0,,2
101955,1002.0,3904.0,9.78,0.2505122950819672,2
101955,1008.0,1958.4,4.39,0.22416258169934639,2
102047,1002.0,3904.0,-996.0,,2
102047,1004.0,3904.0,-996.0,,2
102080,1004.0,7808.0,7.78,0.09964139344262296,2
102080,1006.0,3904.0,3.59,0.09195696721311475,2
102086,1004.0,0.0,0.99,,2
102086,1008.0,3916.8,3.68,0.09395424836601307,2
102092,1002.0,976.0,0.0,,3
102092,1004.0,976.0,0.0,,3
102092,1006.0,3904.0,0.0,,3
102123,1004.0,3904.0,2.98,0.07633196721311475,2
102123,1008.0,1958.4,3.48,0.17769607843137256,2
102142,1002.0,3904.0,3.08,0.07889344262295082,2
102142,1004.0,3904.0,0.0,,2
102269,1002.0,1952.0,2.15,0.11014344262295081,2
102269,1008.0,1958.4,1.68,0.08578431372549018,2
102512,1002.0,7808.0,8.620000000000001,0.11039959016393443,2
102512,1008.0,1958.4,1.99,0.10161356209150325,2
102531,1002.0,3904.0,2.77,0.07095286885245902,2
102531,1004.0,3904.0,2.5,0.06403688524590163,2
102589,1004.0,3904.0,2.59,0.06634221311475409,2
102589,1008.0,18144.0,12.98,0.07153880070546738,2
102693,1002.0,3904.0,0.0,,2
102693,1004.0,0.0,7.140000000000001,,2
102741,1002.0,489.6,0.99,0.20220588235294115,3
102741,1004.0,3904.0,1.98,0.050717213114754106,3
102741,1006.0,1952.0,0.99,0.050717213114754106,3
102769,1004.0,3904.0,9.98,0.25563524590163933,2
102769,1008.0,1958.4,1.19,0.06076388888888888,2
102826,1002.0,0.0,3.3,,2
102826,1004.0,11712.0,10.77,0.09195696721311475,2
102846,1002.0,3904.0,4.84,0.12397540983606559,2
102846,1004.0,3904.0,3.19,0.08171106557377049,2
102873,1002.0,1952.0,3.96,0.20286885245901642,2
102873,1008.0,979.2,1.79,0.18280228758169934,2
102953,1004.0,0.0,5.98,,2
102953,1008.0,0.0,2.89,,2
103061,1006.0,1952.0,1.99,0.10194672131147542,2
103061,1008.0,1958.4,1.95,0.09957107843137254,2
103087,1004.0,7808.0,-1992.0,,2
103087,1006.0,976.0,-996.0,,2
103152,1004.0,0.0,5.98,,3
103152,1006.0,0.0,5.98,,3
103152,1008.0,23500.800000000003,5.98,0.025445942265795204,3
103442,1006.0,0.0,1.02,,2
103442,1008.0,0.0,1.48,,2
103534,1004.0,3904.0,3.49,0.08939549180327869,2
103534,1006.0,1952.0,4.56,0.23360655737704916,2
103564,1004.0,3904.0,2.95,0.07556352459016394,2
103564,1006.0,976.0,1.05,0.10758196721311476,2
103566,1004.0,3904.0,6.18,0.15829918032786885,2
103566,1006.0,3904.0,2.79,0.07146516393442623,2
103568,1006.0,1952.0,2.03,0.10399590163934426,2
103568,1008.0,9792.0,6.82,0.06964869281045752,2
103690,1002.0,0.0,2.5,,2
103690,1004.0,0.0,9.43,,2
103853,1002.0,1958.4,1.5,0.07659313725490197,2
103853,1004.0,3904.0,2.98,0.07633196721311475,2
103890,1002.0,1958.4,2.43,0.12408088235294117,2
103890,1008.0,7833.6,7.3100000000000005,0.09331597222222222,2
103905,1006.0,3904.0,3.51,0.0899077868852459,2
103905,1008.0,3916.8,3.4,0.08680555555555555,2
103963,1002.0,3904.0,4.74,0.1214139344262295,2
103963,1004.0,0.0,0.0,,2
104027,1002.0,976.0,0.0,,2
104027,1004.0,976.0,1.0,0.10245901639344263,2
104036,1002.0,1952.0,4.85,0.24846311475409835,2
104036,1004.0,1952.0,9.64,0.49385245901639346,2
104137,1002.0,4393.6,3.98,0.0905863073561544,2
104137,1008.0,1958.4,1.99,0.10161356209150325,2
104185,1002.0,7808.0,5.39,0.06903176229508196,2
104185,1004.0,7808.0,12.76,0.16342213114754098,2
104213,1002.0,7808.0,6.65,0.08516905737704919,2
104213,1004.0,3904.0,3.79,0.09707991803278689,2
104220,1006.0,1952.0,1.5,0.07684426229508197,2
104220,1008.0,0.0,1.49,,2
104283,1002.0,979.2,2.29,0.23386437908496732,2
104283,1004.0,3904.0,3.79,0.09707991803278689,2
104340,1006.0,0.0,2.93,,2
104340,1008.0,0.0,2.83,,2
104349,1002.0,3904.0,3.19,0.08171106557377049,2
104349,1004.0,3904.0,3.79,0.09707991803278689,2
104380,1002.0,378.0,0.68,0.1798941798941799,2
104380,1004.0,3904.0,3.71,0.09503073770491803,2
104496,1002.0,979.2,1.68,0.17156862745098037,2
104496,1004.0,15616.0,11.92,0.07633196721311475,2
104499,1002.0,976.0,0.99,0.10143442622950821,2
104499,1004.0,3904.0,1.95,0.049948770491803275,2
104525,1002.0,0.0,3.58,,2
104525,1004.0,0.0,5.83,,2
104564,1002.0,680.4,2.5,0.36743092298647856,3
104564,1004.0,7808.0,7.58,0.09707991803278689,3
104564,1006.0,3904.0,3.79,0.09707991803278689,3
104614,1002.0,3904.0,3.68,0.09426229508196722,2
104614,1004.0,3904.0,3.68,0.09426229508196722,2
104697,1006.0,3904.0,-996.0,,2
104697,1008.0,3916.8,4.5,0.11488970588235295,2
104792,1004.0,3904.0,2.79,0.07146516393442623,2
104792,1006.0,3904.0,3.39,0.08683401639344263,2
104840,1002.0,979.2,1.42,0.14501633986928103,2
104840,1006.0,3904.0,3.12,0.07991803278688525,2
104857,1002.0,3904.0,2.59,0.06634221311475409,2
104857,1004.0,3904.0,2.49,0.06378073770491804,2
104864,1002.0,7808.0,5.96,0.07633196721311475,2
104864,1004.0,0.0,5.98,,2
104938,1004.0,5856.0,5.02,0.08572404371584699,2
104938,1008.0,3916.8,3.52,0.08986928104575163,2
104953,1002.0,7808.0,6.18,0.07914959016393443,2
104953,1004.0,7808.0,6.18,0.07914959016393443,2
105058,1002.0,3904.0,4.09,0.10476434426229508,2
105058,1006.0,1952.0,2.29,0.11731557377049182,2
105206,1002.0,7808.0,5.79,0.0741547131147541,2
105206,1004.0,515.66384465,1.5,0.2908871769007007,2
105256,1002.0,0.0,4.84,,2
105256,1004.0,0.0,4.84,,2
105309,1002.0,3904.0,4.69,0.12013319672131148,2
105309,1004.0,4584.4,7.19,0.15683622720530496,2
105427,1002.0,1952.0,4.29,0.21977459016393444,2
105427,1006.0,1952.0,4.29,0.21977459016393444,2
105461,1006.0,976.0,2.79,0.2858606557377049,2
105461,1008.0,384.0,1.99,0.5182291666666666,2
105479,1002.0,756.0,2.0,0.26455026455026454,2
105479,1004.0,976.0,1.89,0.19364754098360654,2
105600,1004.0,0.0,2.29,,2
105600,1006.0,976.0,1.29,0.13217213114754098,2
105652,1002.0,1952.0,1.25,0.06403688524590163,3
105652,1004.0,0.0,1.25,,3
105652,1008.0,1958.4,2.34,0.11948529411764705,3
105765,1004.0,3904.0,2.63,0.06736680327868852,2
105765,1008.0,3916.8,2.29,0.05846609477124183,2
105908,1004.0,11712.0,17.97,0.1534323770491803,2
105908,1008.0,1958.4,1.99,0.10161356209150325,2
105962,1002.0,756.0,1.44,0.19047619047619047,2
105962,1004.0,1952.0,2.28,0.11680327868852458,2
105985,1004.0,3904.0,2.89,0.07402663934426229,2
105985,1006.0,3904.0,3.43,0.08785860655737705,2
106228,1002.0,244.8,2.1100000000000003,0.8619281045751634,2
106228,1004.0,3904.0,4.77,0.12218237704918031,2
106357,1004.0,0.0,2.89,,2
106357,1006.0,366.0,2.75,0.7513661202185792,2
106629,1006.0,7808.0,6.96,0.08913934426229508,2
106629,1008.0,7833.6,5.94,0.07582720588235295,2
106672,1002.0,378.0,0.72,0.19047619047619047,2
106672,1004.0,19520.0,8.31,0.042571721311475415,2
106838,1002.0,4880.0,5.02,0.10286885245901639,2
106838,1004.0,3904.0,3.59,0.09195696721311475,2
106853,1002.0,8942.0,9.54,0.10668754193692687,3
106853,1004.0,1952.0,2.49,0.1275614754098361,3
106853,1006.0,4880.0,5.54,0.11352459016393443,3
106896,1002.0,340.2,0.0,,2
106896,1004.0,5856.0,5.2,0.08879781420765027,2
106917,1002.0,3904.0,3.74,0.09579918032786887,2
106917,1004.0,7808.0,7.34,0.0940061475409836,2
107118,1002.0,680.4,2.7,0.3968253968253969,2
107118,1006.0,1952.0,2.49,0.1275614754098361,2
107190,1004.0,3904.0,5.99,0.15343237704918034,2
107190,1008.0,1958.4,3.98,0.2032271241830065,2
107260,1002.0,340.2,0.69,0.20282186948853614,2
107260,1008.0,5875.200000000001,5.43,0.09242238562091502,2
107311,1002.0,756.0,1.38,0.18253968253968253,3
107311,1004.0,1952.0,1.86,0.09528688524590163,3
107311,1006.0,3904.0,0.0,,3
107314,1002.0,3904.0,2.99,0.07658811475409837,2
107314,1004.0,11712.0,7.79,0.0665129781420765,2
107331,1002.0,1598.4,8.48,0.5305305305305306,2
107331,1004.0,3904.0,4.59,0.1175717213114754,2
107388,1004.0,3904.0,0.0,,2
107388,1008.0,1958.4,0.0,,2
107412,1004.0,1952.0,2.36,0.12090163934426229,2
107412,1006.0,3904.0,3.48,0.08913934426229508,2
107416,1002.0,3904.0,2.62,0.06711065573770492,2
107416,1008.0,3916.8,2.48,0.06331699346405228,2
107423,1004.0,3904.0,3.45,0.08837090163934427,2
107423,1008.0,3916.8,3.45,0.08808210784313726,2
107546,1002.0,0.0,9.18,,2
107546,1004.0,3904.0,3.4,0.08709016393442623,2
107632,1002.0,3904.0,3.65,0.0934938524590164,2
107632,1008.0,1958.4,2.22,0.11335784313725492,2
107698,1004.0,3904.0,8.98,0.23002049180327871,2
107698,1008.0,3916.8,3.98,0.10161356209150325,2
107710,1002.0,15616.0,15.549999999999999,0.09957735655737705,2
107710,1004.0,3904.0,4.09,0.10476434426229508,2
107749,1002.0,3904.0,2.99,0.07658811475409837,2
107749,1004.0,11712.0,8.97,0.07658811475409837,2
107810,1002.0,3904.0,2.98,0.07633196721311475,2
107810,1004.0,0.0,2.74,,2
107836,1002.0,1952.0,6.08,0.3114754098360656,2
107836,1004.0,3904.0,0.0,,2
107866,1002.0,1958.4,2.59,0.13225081699346403,2
107866,1008.0,50918.4,0.0,,2
107939,1002.0,0.0,2.98,,2
107939,1004.0,0.0,2.98,,2
107957,1002.0,85888.0,-990.04,,2
107957,1004.0,3904.0,2.89,0.07402663934426229,2
108009,1002.0,3904.0,3.89,0.09964139344262296,2
108009,1008.0,3916.8,3.74,0.0954861111111111,2
108150,1002.0,0.0,3.55,,2
108150,1004.0,3904.0,3.29,0.08427254098360656,2
108176,1002.0,3904.0,3.99,0.10220286885245901,2
108176,1004.0,0.0,3.49,,2
108195,1002.0,3904.0,3.63,0.09298155737704918,2
108195,1006.0,15616.0,15.96,0.10220286885245901,2
108228,1002.0,7808.0,2.39,0.030609631147540988,2
108228,1004.0,3904.0,3.19,0.08171106557377049,2
108331,1004.0,0.0,3.98,,2
108331,1006.0,3904.0,0.0,,2
108377,1002.0,3904.0,8.56,0.2192622950819672,2
108377,1004.0,20496.0,13.02,0.06352459016393443,2
108395,1002.0,3904.0,0.0,,2
108395,1004.0,0.0,2.49,,2
108417,1002.0,7808.0,14.56,0.18647540983606556,2
108417,1008.0,1958.4,2.32,0.1184640522875817,2
108438,1006.0,3904.0,3.53,0.09042008196721311,2
108438,1008.0,1958.4,0.88,0.04493464052287582,2
108473,1002.0,1020.6,2.97,0.291005291005291,2
108473,1004.0,0.0,5.98,,2
108503,1002.0,1958.4,3.45,0.17616421568627452,2
108503,1004.0,7808.0,7.0,0.08965163934426229,2
108504,1002.0,3904.0,3.79,0.09707991803278689,2
108504,1004.0,0.0,3.19,,2
108660,1002.0,19520.0,14.370000000000001,0.07361680327868854,2
108660,1004.0,0.0,3.09,,2
108708,1006.0,3904.0,3.48,0.08913934426229508,2
108708,1008.0,3916.8,3.55,0.09063521241830065,2
108873,1006.0,3904.0,0.0,,2
108873,1008.0,3916.8,0.0,,2
108925,1002.0,979.2,1.69,0.17258986928104575,2
108925,1004.0,0.0,1.79,,2
108942,1004.0,3904.0,3.85,0.09861680327868853,2
108942,1008.0,1958.4,2.65,0.13531454248366012,2
109064,1002.0,976.0,1.15,0.11782786885245901,2
109064,1006.0,7808.0,4.38,0.05609631147540983,2
109258,1002.0,3904.0,1.79,0.04585040983606557,2
109258,1004.0,4880.0,4.59,0.09405737704918032,2
109311,1006.0,976.0,1.99,0.20389344262295084,2
109311,1008.0,11750.400000000001,10.47,0.08910334967320262,2
109368,1004.0,7808.0,5.98,0.07658811475409837,2
109368,1006.0,9760.0,14.950000000000001,0.15317622950819673,2
109498,1004.0,7808.0,5.18,0.06634221311475409,2
109498,1008.0,9792.0,8.05,0.08220996732026145,2
109505,1002.0,680.4,4.62,0.6790123456790124,2
109505,1004.0,7808.0,8.89,0.11385758196721311,2
109551,1004.0,0.0,2.39,,2
109551,1008.0,0.0,0.65,,2
109593,1002.0,340.2,1.25,0.36743092298647856,3
109593,1004.0,3904.0,3.7,0.09477459016393443,3
109593,1006.0,7808.0,5.0,0.06403688524590163,3
109637,1002.0,2928.0,7.02,0.23975409836065575,2
109637,1004.0,4880.0,13.399999999999999,0.2745901639344262,2
109671,1004.0,1952.0,1.99,0.10194672131147542,2
109671,1006.0,3904.0,4.98,0.1275614754098361,2
109700,1004.0,732.0,1.19,0.16256830601092895,2
109700,1006.0,976.0,3.29,0.33709016393442626,2
109714,1002.0,3904.0,5.99,0.15343237704918034,2
109714,1004.0,3904.0,5.99,0.15343237704918034,2
109730,1004.0,0.0,3.15,,2
109730,1006.0,0.0,3.19,,2
109836,1002.0,1952.0,4.99,0.25563524590163933,2
109836,1004.0,5856.0,14.97,0.25563524590163933,2
109920,1002.0,0.0,5.58,,2
109920,1004.0,0.0,1.8,,2
110046,1004.0,3904.0,1.99,0.05097336065573771,2
110046,1006.0,7808.0,8.97,0.11488217213114756,2
110052,1002.0,340.2,1.28,0.37624926513815404,3
110052,1004.0,1952.0,1.98,0.10143442622950821,3
110052,1006.0,1952.0,1.78,0.09118852459016394,3
110084,1002.0,15616.0,11.96,0.07658811475409837,2
110084,1004.0,2928.0,4.98,0.17008196721311478,2
110091,1002.0,3904.0,2.99,0.07658811475409837,2
110091,1004.0,7808.0,5.98,0.07658811475409837,2
110370,1002.0,7808.0,6.32,0.08094262295081968,2
110370,1004.0,3904.0,2.58,0.06608606557377049,2
110376,1006.0,3904.0,2.89,0.07402663934426229,2
110376,1008.0,0.0,1.59,,2
110401,1002.0,756.0,3.1,0.4100529100529101,2
110401,1004.0,3904.0,0.0,,2
110411,1002.0,1952.0,0.0,,2
110411,1004.0,1952.0,0.0,,2
110439,1002.0,3904.0,7.78,0.19928278688524592,2
110439,1004.0,6997.983067900001,8.38,0.11974878931101393,2
110443,1002.0,489.6,0.0,,3
